0.00.038.117 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.145 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.038.145 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.038.465 W srv  llama_server: -----------------
0.00.038.466 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.467 W srv  llama_server: -----------------
0.00.039.680 I srv    load_model: loading model '/mnt/raid0/llm/models/bge-large-en-v1.5-f16.gguf'
0.00.244.663 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.367.838 W srv    load_model: speculative decoding not supported by this context
0.00.367.843 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.369.366 I srv  llama_server: model loaded
0.00.369.373 I srv  llama_server: listening on http://127.0.0.1:8090
4.16.111.247 I slot      release: id  3 | task 75 | stop processing: n_tokens = 60, truncated = 0
4.16.112.173 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257087416
4.16.112.175 I slot launch_slot_: id  2 | task 77 | processing task, is_child = 0
4.16.123.306 I slot      release: id  2 | task 77 | stop processing: n_tokens = 94, truncated = 0
4.16.124.209 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257096981
4.16.124.212 I slot launch_slot_: id  1 | task 79 | processing task, is_child = 0
4.16.132.546 I slot      release: id  1 | task 79 | stop processing: n_tokens = 55, truncated = 0
4.16.133.444 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257106320
4.16.133.446 I slot launch_slot_: id  0 | task 81 | processing task, is_child = 0
4.16.141.749 I slot      release: id  0 | task 81 | stop processing: n_tokens = 64, truncated = 0
4.16.142.625 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257119399
4.16.142.627 I slot launch_slot_: id  3 | task 83 | processing task, is_child = 0
4.16.155.424 I slot      release: id  3 | task 83 | stop processing: n_tokens = 88, truncated = 0
4.16.156.336 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257131458
4.16.156.340 I slot launch_slot_: id  2 | task 85 | processing task, is_child = 0
4.16.168.649 I slot      release: id  2 | task 85 | stop processing: n_tokens = 117, truncated = 0
4.16.169.513 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257140697
4.16.169.516 I slot launch_slot_: id  1 | task 87 | processing task, is_child = 0
4.16.178.103 I slot      release: id  1 | task 87 | stop processing: n_tokens = 67, truncated = 0
4.16.178.999 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257149901
4.16.179.002 I slot launch_slot_: id  0 | task 89 | processing task, is_child = 0
4.16.257.318 I slot      release: id  0 | task 89 | stop processing: n_tokens = 56, truncated = 0
4.16.258.356 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257163576
4.16.258.358 I slot launch_slot_: id  3 | task 91 | processing task, is_child = 0
4.16.269.227 I slot      release: id  3 | task 91 | stop processing: n_tokens = 41, truncated = 0
4.16.270.170 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257176801
4.16.270.172 I slot launch_slot_: id  2 | task 93 | processing task, is_child = 0
4.16.279.298 I slot      release: id  2 | task 93 | stop processing: n_tokens = 54, truncated = 0
4.16.280.289 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257186255
4.16.280.291 I slot launch_slot_: id  1 | task 95 | processing task, is_child = 0
4.16.288.602 I slot      release: id  1 | task 95 | stop processing: n_tokens = 56, truncated = 0
4.16.289.522 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257265470
4.16.289.524 I slot launch_slot_: id  0 | task 97 | processing task, is_child = 0
4.16.297.845 I slot      release: id  0 | task 97 | stop processing: n_tokens = 54, truncated = 0
4.16.298.757 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257277379
4.16.298.759 I slot launch_slot_: id  3 | task 99 | processing task, is_child = 0
4.16.307.900 I slot      release: id  3 | task 99 | stop processing: n_tokens = 67, truncated = 0
4.16.308.875 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257287450
4.16.308.878 I slot launch_slot_: id  2 | task 101 | processing task, is_child = 0
4.16.319.790 I slot      release: id  2 | task 101 | stop processing: n_tokens = 55, truncated = 0
4.16.320.694 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257296754
